age,educ,black,hisp,married,nodegr,re74,re75,re78,u74,u75,treat
20,12,1,0,0,0,0,377.569,1652.64,1,0,1
19,10,1,0,0,1,0,385.274,8124.72,1,0,1
23,12,1,0,0,0,5506.31,501.074,671.332,0,0,1
29,14,1,0,0,0,0,679.673,17815,1,0,1
18,10,1,0,0,1,0,798.908,9737.15,1,0,1
19,9,1,0,0,1,0,798.908,17685.2,1,0,1
27,13,0,0,1,0,9381.57,853.723,0,0,0,1
18,11,0,0,0,1,3678.23,919.558,4321.71,0,0,1
27,9,1,0,1,1,0,934.445,1773.42,1,0,1
22,12,1,0,0,0,5605.85,936.177,0,0,0,1
23,10,1,0,1,1,0,936.439,11233.3,1,0,1
23,12,0,1,0,0,9385.74,1117.44,559.443,0,0,1
20,11,1,0,0,1,3637.5,1220.84,1085.44,0,0,1
17,9,1,0,0,1,1716.51,1253.44,5445.2,0,0,1
28,11,1,0,0,1,0,1284.08,60307.9,1,0,1
26,11,1,0,1,1,0,1392.85,1460.36,1,0,1
20,11,1,0,0,1,16318.6,1484.99,6943.34,0,0,1
24,11,1,0,1,1,824.389,1666.11,4032.71,0,0,1
31,9,1,0,0,1,0,1698.61,10363.3,1,0,1
23,8,0,0,1,1,0,1713.15,4232.31,1,0,1
18,10,1,0,0,1,2143.41,1784.27,11141.4,0,0,1
29,12,1,0,0,0,10881.9,1817.28,0,0,0,1
26,11,0,0,0,1,0,2226.27,13385.9,1,0,1
24,9,1,0,0,1,9154.7,2288.68,4849.56,0,0,1
25,12,1,0,0,0,14426.8,2409.27,0,0,0,1
24,10,1,0,0,1,4250.4,2421.95,1660.51,0,0,1
46,8,1,0,0,1,3165.66,2594.72,0,0,0,1
31,12,0,0,0,0,0,2611.22,2484.55,1,0,1
19,11,1,0,0,1,2305.03,2615.28,4146.6,0,0,1
19,8,1,0,0,1,0,2657.06,9970.68,1,0,1
27,11,1,0,0,1,2206.94,2666.27,0,0,0,1
26,11,1,0,1,1,0,2754.65,26372.3,1,0,1
20,10,1,0,0,1,5005.73,2777.36,5615.19,0,0,1
28,10,1,0,0,1,0,2836.51,3196.57,1,0,1
24,12,1,0,0,0,13765.8,2842.76,6167.68,0,0,1
19,8,1,0,0,1,2636.35,2937.26,7535.94,0,0,1
23,12,1,0,0,0,6269.34,3039.96,8484.24,0,0,1
42,9,1,0,1,1,0,3058.53,1294.41,1,0,1
25,13,1,0,0,0,12362.9,3090.73,0,0,0,1
18,9,1,0,0,1,0,3287.38,5010.34,1,0,1
21,12,1,0,0,0,6473.68,3332.41,9371.04,0,0,1
27,10,1,0,0,1,1001.15,3550.08,0,0,0,1
21,8,1,0,0,1,989.268,3695.9,4279.61,0,0,1
22,9,1,0,0,1,2192.88,3836.99,3462.56,0,0,1
31,4,1,0,0,1,8517.59,4023.21,7382.55,0,0,1
24,10,1,0,1,1,11703.2,4078.15,0,0,0,1
29,10,1,0,0,1,0,4398.95,0,1,0,1
29,12,1,0,0,0,9748.39,4878.94,10976.5,0,0,1
19,10,0,0,0,1,0,5324.11,13829.6,1,0,1
19,11,0,1,1,1,5424.49,5463.8,6788.46,0,0,1
31,9,1,0,0,1,10717,5517.84,9558.5,0,0,1
22,10,1,0,1,1,1468.35,5588.66,13228.3,0,0,1
21,9,1,0,0,1,6416.47,5749.33,743.667,0,0,1
17,10,1,0,0,1,1291.47,5793.85,5522.79,0,0,1
26,12,1,0,1,0,8408.76,5794.83,1424.94,0,0,1
20,9,0,1,0,1,12260.8,5875.05,1358.64,0,0,1
19,10,1,0,0,1,4121.95,6056.75,0,0,0,1
26,10,1,0,0,1,25929.7,6788.96,672.877,0,0,1
28,11,1,0,0,1,1929.03,6871.86,0,0,0,1
22,12,0,1,1,0,492.231,7055.7,10092.8,0,0,1
33,11,1,0,0,1,0,7867.92,6281.43,1,0,1
22,12,0,0,0,0,6759.99,8455.5,12590.7,0,0,1
29,10,0,1,0,1,0,8853.67,5112.01,1,0,1
33,12,1,0,1,0,20280,10941.4,15952.6,0,0,1
25,14,1,0,1,0,35040.1,11536.6,36647,0,0,1
35,9,1,0,1,1,13602.4,13830.6,12804,0,0,1
35,8,1,0,1,1,13732.1,17976.2,3786.63,0,0,1
33,11,1,0,1,1,14660.7,25142.2,4181.94,0,0,1
45,11,0,0,1,1,21516.66992,25243.55078,25564.66992,0,0,0
21,14,0,0,0,0,3175.970947,5852.564941,13496.08008,0,0,0
38,12,0,0,1,0,23039.01953,25130.75977,25564.66992,0,0,0
48,6,0,0,1,1,24994.36914,25243.55078,25564.66992,0,0,0
18,8,0,0,1,1,1669.295044,10727.61035,9860.869141,0,0,0
22,11,0,0,1,1,16365.75977,18449.26953,25564.66992,0,0,0
48,10,0,0,1,1,16804.63086,16354.59961,18059.30078,0,0,0
18,11,0,0,0,1,1144.212036,3620.031982,15739.26953,0,0,0
48,9,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
45,12,0,0,1,0,25862.32031,0,3924.842041,0,1,0
34,14,0,0,1,0,25862.32031,23746.83984,25564.66992,0,0,0
16,10,0,0,0,1,1026.656006,1224.581055,6847.785156,0,0,0
53,10,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
19,12,0,0,0,0,867.9552002,4386.290039,8777.696289,0,0,0
27,12,0,0,1,0,25862.32031,19047.24023,19214.88086,0,0,0
32,10,0,0,1,1,20427.32031,23374.44922,9179.636719,0,0,0
27,12,0,0,1,0,20983.75,14822.08008,25564.66992,0,0,0
46,7,0,0,1,1,19171.42969,1317.677002,0,0,0,0
24,13,0,0,0,0,20830.91992,25243.55078,23903.71094,0,0,0
22,13,0,0,0,0,11036.5498,10351.65039,6556.672852,0,0,0
49,10,0,0,1,1,391.8533936,0,0,0,1,0
17,10,0,0,0,1,0,0,4755.324219,1,1,0
29,14,0,0,1,0,21499.0293,22586.71094,20923.13086,0,0,0
28,16,0,0,1,0,16500.94922,0,10267.24023,0,1,0
46,12,0,0,1,0,24814.10938,24967.83984,19339.00977,0,0,0
26,17,1,0,1,0,0,0,4753.846191,1,1,0
49,12,0,0,0,0,25862.32031,25243.55078,25564.66992,0,0,0
51,10,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
51,10,0,0,1,1,22923.41992,21725.56055,10348.51953,0,0,0
27,11,0,0,1,1,17022.10938,18123.43945,18490.78906,0,0,0
23,13,0,0,0,0,19098.92969,21014.81055,0,0,0,0
27,10,0,0,1,1,7952.664063,9755.467773,13105.95996,0,0,0
38,10,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
32,8,0,0,0,1,7186.59082,6149.757813,8414.174805,0,0,0
34,14,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
26,18,0,0,1,0,20971.99023,21883.10938,25564.66992,0,0,0
21,13,0,0,0,0,8638.407227,8176.402832,6753.209961,0,0,0
39,8,0,1,0,1,13499.34961,16383.24023,16461.86914,0,0,0
17,8,1,0,0,1,0,451.1612854,0,1,0,0
22,11,0,1,1,1,17466.85938,17779.68945,14438.87012,0,0,0
21,12,0,1,0,0,0,0,0,1,1,0
44,9,0,1,1,1,15390.04004,14886.53027,12634.55957,0,0,0
26,10,0,1,1,1,17125.94922,17446.68945,13518.24023,0,0,0
54,4,0,1,1,1,13350.44043,13180.34961,13741.37988,0,0,0
42,12,0,1,1,0,21663.60938,22013.81055,19941.91992,0,0,0
25,12,0,0,0,0,8105.486816,11869.83984,6170.98584,0,0,0
20,13,0,0,0,0,317.4012146,214.8386993,0,0,0,0
44,11,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
33,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
40,12,0,0,1,0,25862.32031,14494.4502,25564.66992,0,0,0
25,16,0,0,1,0,21048.40039,22916.13086,23574.16992,0,0,0
33,12,0,0,0,0,12694.08984,13046.08008,11264.70996,0,0,0
52,13,1,0,0,0,19827.7793,19668.48047,18437.58984,0,0,0
54,14,0,0,1,0,24686.75977,25243.55078,25564.66992,0,0,0
27,15,0,0,0,0,19200.81055,19303.25977,18207.07031,0,0,0
51,10,0,0,1,1,7488.317871,7888.161133,6148.819824,0,0,0
42,12,0,0,1,0,6502.807129,15241.01953,15468.83984,0,0,0
50,10,0,0,1,1,25862.32031,25243.55078,25564.66992,0,0,0
47,10,0,0,1,1,15282.28027,13964.51953,9043.686523,0,0,0
28,12,0,0,1,0,24224.36914,11019.44043,20055.71094,0,0,0
33,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
33,13,0,0,1,0,21146.36914,18732.15039,22254.56055,0,0,0
55,16,0,0,1,0,25862.32031,24627.67969,25564.66992,0,0,0
38,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
39,16,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
27,17,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
16,9,0,0,0,1,378.1384888,467.2742004,4306.095215,0,0,0
35,12,0,0,1,0,6645.833008,3331.790039,0,0,0,0
35,12,0,0,1,0,22421.84961,21093.58008,23590.42969,0,0,0
45,12,0,0,1,0,25862.32031,25243.55078,0,0,0,0
51,11,0,0,1,1,18270.16016,21637.83984,20267.01953,0,0,0
27,16,0,0,0,0,11316.73047,1761.677002,5532.60791,0,0,0
28,14,0,0,1,0,0,0,18719.83984,1,1,0
35,18,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
39,10,0,0,1,1,18534.66016,0,21496.49023,0,1,0
33,12,0,0,0,0,25862.32031,25243.55078,25564.66992,0,0,0
52,16,0,0,1,0,25862.32031,25241.75977,12429.16016,0,0,0
22,13,0,0,0,0,5023.560059,6819.338867,13943.83008,0,0,0
25,12,0,0,1,0,20070.73047,11117.90039,19003.56055,0,0,0
28,16,0,0,1,0,25013.96094,22710.24023,0,0,0,0
27,16,0,0,1,0,16888.88086,16200.62988,17295.31055,0,0,0
30,13,0,0,0,0,8362.151367,7990.209961,8590.025391,0,0,0
28,15,0,0,0,0,9672.900391,8085.097168,14348.73047,0,0,0
24,12,0,0,1,0,19083.25977,18270.24023,22261.94922,0,0,0
29,11,1,0,0,1,14743.48047,14954.55957,13714.78027,0,0,0
49,7,1,0,0,1,16444.13086,16028.75977,15965.36035,0,0,0
22,12,0,0,1,0,13352.40039,14358.38965,17051.49023,0,0,0
30,16,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
45,12,0,0,1,0,24185.18945,25243.55078,0,0,0,0
44,12,0,0,1,0,24669.13086,24418.21094,25564.66992,0,0,0
21,12,0,0,0,0,11465.62988,1953.241943,25564.66992,0,0,0
26,13,0,0,1,0,11661.55957,4142.806152,18650.39063,0,0,0
25,16,0,0,1,0,18822.67969,20112.48047,20986.66992,0,0,0
45,8,0,0,1,1,16883,15316.20996,17010.10938,0,0,0
19,9,0,0,0,1,3311.160889,10525.30957,1693.474976,0,0,0
55,9,0,0,1,1,12609.83984,12349.65039,12201.58984,0,0,0
22,12,0,0,1,0,12423.70996,13035.33984,17482.98047,0,0,0
37,18,0,0,1,0,0,16735.93945,25564.66992,1,0,0
38,12,0,0,1,0,25862.32031,25243.55078,25298.67969,0,0,0
29,13,0,0,1,0,17962.56055,11590.5498,2639.219971,0,0,0
43,8,0,0,1,1,21044.48047,25243.55078,1301.876953,0,0,0
51,10,0,0,1,1,25862.32031,19817.08008,4.433179855,0,0,0
25,14,0,0,1,0,11769.32031,11624.55957,13903.92969,0,0,0
52,12,0,0,1,0,20776.07031,20808.91992,10394.33008,0,0,0
26,14,0,0,1,0,22886.19922,24523.83984,25564.66992,0,0,0
37,18,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
36,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
27,14,0,0,1,0,6395.046875,18513.73047,21258.57031,0,0,0
21,11,0,0,1,1,20817.21094,25243.55078,25564.66992,0,0,0
44,12,0,0,1,0,22686.34961,0,19081.88086,0,1,0
49,17,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
32,0,0,0,0,1,4559.213867,3976.305908,7246.770996,0,0,0
23,12,0,0,1,0,16593.0293,17622.15039,22872.25,0,0,0
46,12,0,0,1,0,18636.55078,18214.74023,20485.7207,0,0,0
17,10,0,0,0,1,0,1536.097046,19808.91992,1,0,0
26,12,0,0,1,0,19067.58008,24849.67969,22545.66992,0,0,0
27,12,0,0,1,0,19637.73047,8178.193848,25564.66992,0,0,0
30,15,0,0,1,0,23871.71094,25243.55078,25564.66992,0,0,0
23,12,0,0,0,0,23826.64063,24942.76953,25523.28906,0,0,0
22,12,0,0,1,0,13540.49023,21766.74023,25564.66992,0,0,0
30,18,0,0,1,0,23127.18945,23580.33984,25564.66992,0,0,0
32,14,0,0,1,0,20145.17969,15941.03027,25564.66992,0,0,0
27,14,0,0,0,0,15576.16992,24706.44922,25564.66992,0,0,0
18,12,0,0,0,0,4729.669922,3328.209961,12602.0498,0,0,0
33,18,0,0,0,0,0,0,25564.66992,1,1,0
22,11,0,0,0,1,5325.287109,1061.661011,0,0,0,0
23,16,0,0,0,0,2358.957031,0,3270.208984,0,1,0
51,10,0,0,1,1,19030.35938,17532.63086,0,0,0,0
21,15,0,0,0,0,2470.63501,5116.742188,10890.83984,0,0,0
18,12,0,0,0,0,9065.527344,9338.323242,7972.334961,0,0,0
53,10,0,0,1,1,0,0,0,1,1,0
21,12,0,0,0,0,4055.681885,1867.30603,0,0,0,0
32,16,0,0,1,0,22525.68945,22712.0293,25564.66992,0,0,0
41,12,0,0,1,0,25862.32031,24745.83984,25564.66992,0,0,0
48,12,0,0,0,0,25862.32031,25243.55078,25564.66992,0,0,0
25,18,0,0,0,0,2351.120117,211.2581024,25564.66992,0,0,0
23,16,0,0,0,0,913.0183105,8675.90332,14265.96973,0,0,0
30,12,0,0,1,0,0,0,0,1,1,0
22,12,0,0,1,0,1806.44397,7114.742188,0,0,0,0
44,10,0,0,1,1,5940.49707,2739.194092,2167.824951,0,0,0
17,11,0,0,0,1,2447.124023,3267.339111,7942.779785,0,0,0
23,12,0,0,0,0,331.1160889,0,594.0460815,0,1,0
47,8,0,0,1,1,25168.74023,22651.16016,24401.69922,0,0,0
54,12,0,0,1,0,0,0,0,1,1,0
49,8,0,0,1,1,11408.80957,3709.548096,19136.56055,0,0,0
36,18,0,0,1,0,23742.40039,25243.55078,25564.66992,0,0,0
33,14,0,0,1,0,24951.25977,23277.76953,25564.66992,0,0,0
43,15,0,0,1,0,19386.94922,25207.74023,22579.66016,0,0,0
37,10,0,0,0,1,17235.66992,18397.34961,0,0,0,0
48,12,0,0,0,0,16536.21094,16605.24023,16713.08984,0,0,0
54,12,0,0,0,0,0,0,0,1,1,0
28,16,0,0,0,0,92.08554077,0,626.5560913,0,1,0
35,3,0,0,1,1,19620.09961,20361.33984,15347.66992,0,0,0
55,12,0,0,1,0,14696.45996,3134.85498,0,0,0,0
53,7,0,0,1,1,22308.21094,21521.4707,10159.37012,0,0,0
25,12,0,0,1,0,19888.51953,17756.41992,14422.61035,0,0,0
30,8,0,0,1,1,18691.41016,15543.58008,22984.56055,0,0,0
44,5,0,0,0,1,12764.62012,9442.161133,6224.184082,0,0,0
44,6,0,0,1,1,25862.32031,15217.74023,25564.66992,0,0,0
20,10,0,0,0,1,3814.691895,5234.902832,5021.314941,0,0,0
49,9,0,0,1,1,17147.5,12747.09961,12683.33008,0,0,0
55,8,0,0,1,1,5619.176758,5449.742188,23559.39063,0,0,0
51,16,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
24,16,0,0,0,0,9692.493164,16012.65039,7326.567871,0,0,0
54,10,0,0,1,1,25055.09961,25243.55078,22154.08008,0,0,0
32,16,1,0,0,0,17135.75,1031.225952,0,0,0,0
19,4,0,1,1,1,2298.219971,1786.741943,11607.54004,0,0,0
36,18,0,0,0,0,0,0,0,1,1,0
55,10,0,0,1,1,0,0,0,1,1,0
25,12,0,0,1,0,8679.551758,17666.90039,17465.25,0,0,0
26,18,0,0,1,0,0,8414.515625,22867.82031,1,0,0
19,13,0,0,0,0,5060.786133,5182.983887,16382.08008,0,0,0
52,11,0,0,1,1,25862.32031,25243.55078,23290.44922,0,0,0
19,12,0,0,0,0,4335.856934,4687.064941,21407.82031,0,0,0
17,11,0,0,0,1,43.10387039,0,14911.74023,0,1,0
23,10,0,0,1,1,10595.70996,1462.69397,11861.70996,0,0,0
44,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
28,12,0,0,1,0,13095.74023,4998.581055,9376.174805,0,0,0
49,8,0,0,1,1,17911.61914,23684.17969,9464.838867,0,0,0
54,10,0,0,1,1,14522.08984,8738.56543,8486.583984,0,0,0
22,11,0,0,0,1,5656.402832,0,3895.287109,0,1,0
33,13,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
40,12,0,0,0,0,20468.46094,6205.257813,22680.15039,0,0,0
47,12,0,0,1,0,25862.32031,20522.4707,24505.14063,0,0,0
21,12,0,0,0,0,9792.415039,2169.871094,14998.91992,0,0,0
17,10,0,0,0,1,0,0,1384.630005,1,1,0
16,9,0,0,0,1,0,1346.322998,6705.922852,1,0,0
40,12,0,0,1,0,15435.09961,12927.91992,13061.62988,0,0,0
36,12,0,0,1,0,25241.23047,25243.55078,25564.66992,0,0,0
51,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
46,9,0,0,1,1,25062.93945,25166.56055,25097.71094,0,0,0
33,18,0,0,1,0,23421.08008,25243.55078,18505.57031,0,0,0
28,13,0,0,1,0,24771.00977,21333.48047,14323.59961,0,0,0
27,11,0,0,1,1,14267.37988,12829.4502,18693.24023,0,0,0
33,12,0,0,0,0,25862.32031,25243.55078,21944.24023,0,0,0
26,12,0,0,1,0,16822.25977,19978.21094,20015.81055,0,0,0
24,12,0,0,1,0,16103.20996,8922.967773,16470.74023,0,0,0
28,8,0,0,1,1,16450,18300.67969,23494.36914,0,0,0
36,12,0,0,1,0,23912.84961,23274.18945,25378.48047,0,0,0
42,12,0,0,1,0,21473.56055,22060.34961,23426.40039,0,0,0
16,10,0,0,0,1,0,0,1399.406982,1,1,0
53,14,0,0,1,0,22995.91016,16304.46973,0,0,0,0
52,10,0,0,1,1,17329.71094,16193.46973,20247.81055,0,0,0
22,12,0,0,0,0,0,0,0,1,1,0
55,14,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
26,14,0,0,1,0,9927.605469,13396.98047,10757.84961,0,0,0
38,12,0,0,1,0,2400.102051,0,0,0,1,0
43,12,0,0,1,0,14328.12012,3453.531982,18781.90039,0,0,0
55,7,0,0,1,1,18660.06055,16768.16016,19438.01953,0,0,0
49,10,0,0,1,1,24083.31055,22758.58008,25232.17969,0,0,0
20,12,0,0,0,0,9578.855469,15727.98047,18666.64063,0,0,0
18,10,0,0,0,1,0,0,6478.353027,1,1,0
31,16,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
54,18,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
28,12,0,0,1,0,20676.14063,4072.983887,17289.40039,0,0,0
24,12,0,0,1,0,18979.41992,20959.31055,17657.34961,0,0,0
21,8,0,0,0,1,18432.7793,6778.161133,9376.174805,0,0,0
39,8,0,0,1,1,24163.64063,20937.82031,25564.66992,0,0,0
28,12,0,0,1,0,23569.98047,21926.08008,25564.66992,0,0,0
40,12,0,0,1,0,25862.32031,25243.55078,23653.9707,0,0,0
38,7,0,0,1,1,22306.25,18866.41992,22192.5,0,0,0
16,10,0,0,0,1,0,520.9838867,9925.888672,1,0,0
43,12,0,0,1,0,0,0,0,1,1,0
49,12,0,0,1,0,24812.15039,23202.58008,21153.66016,0,0,0
28,14,0,0,0,0,19316.41016,18626.51953,20002.50977,0,0,0
22,12,0,0,0,0,15341.05957,14904.44043,25564.66992,0,0,0
39,12,0,0,1,0,7455.009766,8512.984375,9862.34668,0,0,0
27,16,0,0,1,0,21062.11914,24824.60938,12514.87012,0,0,0
21,12,0,0,0,0,15658.45996,8115.532227,15937.28027,0,0,0
48,11,0,0,1,1,25862.32031,25243.55078,23724.90039,0,0,0
30,12,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
20,12,0,0,1,0,11510.69043,8185.35498,10026.37012,0,0,0
20,13,0,0,0,0,0,630.1934814,13858.12012,1,0,0
18,12,0,0,0,0,658.3135986,1432.258057,0,0,0,0
23,12,0,1,0,0,5817.062988,18105.5293,8876.704102,0,0,0
33,12,0,0,1,0,18303.4707,13875,12640.46973,0,0,0
31,12,0,0,1,0,21610.71094,21537.58008,25564.66992,0,0,0
28,12,1,0,0,0,4700.280762,0,731.4746704,0,1,0
30,14,0,0,0,0,0,0,0,1,1,0
23,13,1,0,0,0,172.4154968,272.1289978,582.2243042,0,0,0
38,12,0,0,1,0,10384.11035,11637.09961,15959.4502,0,0,0
37,12,1,0,1,0,18826.58984,21573.39063,18147.96094,0,0,0
16,10,0,0,0,1,658.3135986,630.1934814,5127.710938,0,0,0
18,10,0,0,0,1,0,2474.226074,0,1,0,0
47,9,0,0,1,1,19978.64063,19203,23970.19922,0,0,0
17,9,0,0,0,1,0,3992.418945,10248.03027,1,0,0
35,12,1,0,1,0,17241.55078,15717.24023,18050.42969,0,0,0
19,7,0,1,0,1,1250.011963,0,8199.905273,0,1,0
36,9,1,0,1,1,18904.9707,18938.0293,10997.24023,0,0,0
41,8,0,0,1,1,0,0,0,1,1,0
54,12,0,0,1,0,0,0,0,1,1,0
51,18,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
55,15,0,0,1,0,25862.32031,25243.55078,25564.66992,0,0,0
